대여일자,대여시간,대여소번호,대여소명,이용건수,월,일,요일,지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),요일_0,요일_1,요일_2,요일_3,요일_4,요일_5,요일_6
2022-01-06,20,502,502. 뚝섬유원지역 1번출구 앞,4,1,6,3,108,서울,2022-01-06 20:00:00,-1.2,0.0,1.8,41,0,0,0,1,0,0,0
2022-01-06,21,502,502. 뚝섬유원지역 1번출구 앞,6,1,6,3,108,서울,2022-01-06 21:00:00,-1.9,0.0,1.8,43,0,0,0,1,0,0,0
2022-01-06,22,502,502. 뚝섬유원지역 1번출구 앞,10,1,6,3,108,서울,2022-01-06 22:00:00,-2.7,0.0,1.7,47,0,0,0,1,0,0,0
2022-01-06,23,502,502. 뚝섬유원지역 1번출구 앞,3,1,6,3,108,서울,2022-01-06 23:00:00,-3.4,0.0,1.6,50,0,0,0,1,0,0,0
2022-01-07,0,502,502. 뚝섬유원지역 1번출구 앞,2,1,7,4,108,서울,2022-01-07 00:00:00,-4.2,0.0,1.3,52,0,0,0,0,1,0,0
2022-01-07,4,502,502. 뚝섬유원지역 1번출구 앞,1,1,7,4,108,서울,2022-01-07 04:00:00,-5.3,0.0,0.6,58,0,0,0,0,1,0,0
2022-01-07,6,502,502. 뚝섬유원지역 1번출구 앞,3,1,7,4,108,서울,2022-01-07 06:00:00,-5.7,0.0,1.6,59,0,0,0,0,1,0,0
2022-01-07,7,502,502. 뚝섬유원지역 1번출구 앞,2,1,7,4,108,서울,2022-01-07 07:00:00,-5.8,0.0,1.3,62,0,0,0,0,1,0,0
2022-01-07,8,502,502. 뚝섬유원지역 1번출구 앞,10,1,7,4,108,서울,2022-01-07 08:00:00,-5.8,0.0,1.3,64,0,0,0,0,1,0,0
2022-01-07,9,502,502. 뚝섬유원지역 1번출구 앞,11,1,7,4,108,서울,2022-01-07 09:00:00,-5.3,0.0,1.5,63,0,0,0,0,1,0,0
2022-01-07,10,502,502. 뚝섬유원지역 1번출구 앞,2,1,7,4,108,서울,2022-01-07 10:00:00,-3.0,0.0,1.1,59,0,0,0,0,1,0,0
2022-01-07,11,502,502. 뚝섬유원지역 1번출구 앞,2,1,7,4,108,서울,2022-01-07 11:00:00,0.3,0.0,0.8,48,0,0,0,0,1,0,0
2022-01-07,12,502,502. 뚝섬유원지역 1번출구 앞,5,1,7,4,108,서울,2022-01-07 12:00:00,1.9,0.0,2.4,37,0,0,0,0,1,0,0
2022-01-07,13,502,502. 뚝섬유원지역 1번출구 앞,11,1,7,4,108,서울,2022-01-07 13:00:00,2.5,0.0,1.7,32,0,0,0,0,1,0,0
2022-01-07,14,502,502. 뚝섬유원지역 1번출구 앞,3,1,7,4,108,서울,2022-01-07 14:00:00,3.7,0.0,2.4,24,0,0,0,0,1,0,0
2022-01-07,15,502,502. 뚝섬유원지역 1번출구 앞,8,1,7,4,108,서울,2022-01-07 15:00:00,4.2,0.0,2.1,24,0,0,0,0,1,0,0
2022-01-07,16,502,502. 뚝섬유원지역 1번출구 앞,7,1,7,4,108,서울,2022-01-07 16:00:00,4.4,0.0,2.4,21,0,0,0,0,1,0,0
2022-01-07,17,502,502. 뚝섬유원지역 1번출구 앞,14,1,7,4,108,서울,2022-01-07 17:00:00,2.8,0.0,2.3,25,0,0,0,0,1,0,0
2022-01-07,18,502,502. 뚝섬유원지역 1번출구 앞,13,1,7,4,108,서울,2022-01-07 18:00:00,1.4,0.0,2.1,33,0,0,0,0,1,0,0
2022-01-07,19,502,502. 뚝섬유원지역 1번출구 앞,11,1,7,4,108,서울,2022-01-07 19:00:00,0.3,0.0,1.8,41,0,0,0,0,1,0,0
